Root word															
women	woman	ladies	female	womens	womans	women's									
men	man	guy	mens	male	men's										
rain_coat	raincoat	rain-coat	rain jacket	rain-jacket	bodyscapes	rain coat									
waterproof	water proof	water-proof	water-resistent	water resistent											
saddle_bag	saddlebag	saddle-bag													
plus_size	plussize	plus-size	size plus	extra-large	extra large	XXXL	extended size								
knee_length	mid knee	knee-length	at knee	mid-length	mid length	midi	knee length								
ankle_length	ankle-length	maxi	tea length	tea-length	ankle length										
mini	mini-length	mini-length	micro-mini	mid-thigh	mid thigh	upper thigh	upper-thigh								
fit_and_flare	fit & flare	fit-and-flare	fit-flare	hourglass	curvy	princess seamed	princess-seamed	princess seam	princess-seam	fit and flare					
pants	pant	trousers													
little_black_dress	LBD	little-black-dress	hepburn dress	hepburn-dress	little black dress										
gem	gemstones	gems	jewel	jeweled	bejeweled										
floor_length	ballroom gown	ballroom-gown	floor-length	floor length											
miniskirt	mini-skirt	micro-miniskirt	microskirt	micro-skirt	beltskirt	belt-skirt	short skirt	micromini	micro-mini						
black_tie_women	black-tie womens	black tie ladies	ladies black tie	black-tie ladies	womens black-tie	womens black tie	women's black-tie	womans black tie	woman's black tie	woman's black-tie	ladies' black-tie	ladies' black tie	black tie women		
black_tie	black-tie	black tie dresscode	black tie womens	black tie ladies	black-tie womens	black-tie ladies	black-tie mens	black-tie rsvp	black tie rsvp	black tie					
one_shoulder	1-shoulder	1 shoulder	one shoulder	1 strap	one-strap	asymmetrical shoulder	one-shoulder								
ruched	runched														
applique	appliqué	appliquê													
crepe	crep	crepé	crépe	crépé	crép	crêpe	crêpê	crêpé	crépê						
two_piece	two piece	2-piece	2-piece suit	womens 2 piece	2 piece set	twinset	twin-set	twin set	ladies two piece	ladies two-piece	ladies 2 piece	women twin set	ladies twin set	two-piece	
cutout	cut-out	cut out													
sequin	sequinns	sequinn	sequins												
mixed_media	mixed fabrics	mixed-media	mixed-fabric	mixed material	mixed-materials	mixed media									
boat_neck	boat-neck	bateau-neck	bateau neck	boat neck											
dress_shirt	dressshirt	blouse	dress-shirt	collar shirt	formal shirt	dress shirt									
office	work	professional	office party	workplace	work place										
first_date	perfect for a date	date night	dinner date												
arctic_jacket	hooded jacket	cold jacket	heavy jacket	wool jacket	winter jacket	winter parka	winter coat	anorak	down jacket	quilted jacket	flannel jacket	fleece jacket	polar jacket	hoth	arctic jacket
baseball_jacket	ball jacket	football jacket	football jersey	varsity jacket	letterman jacket	letter jacket	baseball jacket								
blazer	suit jacket	office jacket	single-breasted jacket	double-breasted jacket											
military_jacket	bomber jacket	eisenhower jacket	field jacket	us army jacket	M-1941	M-1943	M-1965	M-65	military jacket						
bolero	short jacket	cropped jacket	matador jacket												
