Fee-Orders reports from 10-01-2016 to 12-31-2016
Category,Name,ASIN,Date,Qty,Price($),Link Type,Tag,Indirect Sales,Device Type Group
Beauty,St. Ives Fresh Skin Invigorating Apricot Scrub 10 Oz (2 Pack),B00GCZ9X5K,2016-10-04 18:26:52,1,11.65,PA-API,eileenog-20,ndi,DESKTOP
Health & Personal Care,Dove Advanced Care Powder Soft Antiperspirant/Deodorant 2.6 Oz. (Pack of 2),B00ZYO1PNS,2016-10-04 18:26:52,1,8.24,PA-API,eileenog-20,ndi,DESKTOP
Clothing & Accessories,Carapace Clothing Women's Maternity Summer Spring Casual Fashion Jersey T-Shirt Dress - YellowMedium,B018A07SPG,2016-10-07 17:15:19,1,14.97,PA-API,eileenog-20,ndi,DESKTOP
Sports & Outdoors,Fallout Vault Tec Pip Boy PipBoy Cosplay Morale PS4 XBOX PVC Rubber 3D Velcro Patch,B01B9KUGGM,2016-10-07 17:15:19,1,8.95,PA-API,eileenog-20,ndi,DESKTOP
Clothing & Accessories,Red Kap Men's Twill Action Back Coverall Electric Blue 38,B007EYYARY,2016-10-07 17:15:19,1,31.71,PA-API,eileenog-20,di,DESKTOP
Camera,Sensei 67mm Center Pinch Snap-On Lens Cap,B008YK78T4,2016-11-03 14:16:11,1,5.25,PA-API,eileenog-20,ndi,DESKTOP
Office Products,Alliance Advantage Rubber Band Size #64 (3 1/2 x 1/4 Inches) - 1/4 Pound Box (Approximately 80 Bands per Box) (26649),B008X09P96,2016-11-04 08:18:55,1,1.21,PA-API,eileenog-20,ndi,MISSING
Office Products,Alliance Advantage Rubber Band Size #64 (3 1/2 x 1/4 Inches) - 1/4 Pound Box (Approximately 80 Bands per Box) (26649),B008X09P96,2016-11-04 11:57:51,1,1.21,PA-API,eileenog-20,di,DESKTOP
Health & Personal Care,NOW Foods L-Phenylalanine 500mg 120 Vcaps,B000JCN2MW,2016-11-07 19:12:29,1,11.95,PA-API,eileenog-20,di,DESKTOP
Health & Personal Care,Now Foods L-Theanine 200 Mg Veg-Capsules 60-Count,B000H7P9M0,2016-11-07 19:12:29,1,12.43,PA-API,eileenog-20,di,DESKTOP
